date,year,day,month,weekday,consumption,holiday,workingday,temp,feelslike,humidity,windspeed,weathersit
2023-01-01,2023,1,1,0,50990646.0,1,0.0,26.5,27.4,67.3,14.8,2
2023-01-02,2023,2,1,1,60638038.0,1,0.0,26.7,28.7,79.6,10.1,2
2023-01-03,2023,3,1,2,74333647.0,0,1.0,28.1,29.8,73.4,15.7,2
2023-01-04,2023,4,1,3,75062469.0,0,1.0,27.6,28.6,64.2,22.3,2
2023-01-05,2023,5,1,4,72323966.0,0,1.0,25.8,26.4,72.4,24.1,2
2023-01-06,2023,6,1,5,70103958.0,0,1.0,25.7,26.3,70.4,24.1,2
2023-01-07,2023,7,1,6,67168035.0,0,0.5,25.9,26.3,66.1,18.4,2
2023-01-08,2023,8,1,0,58843165.0,0,0.0,25.9,27.1,73.3,11.2,2
2023-01-09,2023,9,1,1,71733072.0,0,1.0,26.7,28.1,85.7,18.4,2
2023-01-10,2023,10,1,2,71999979.0,0,1.0,26.3,27.8,87.5,22.3,2
2023-01-11,2023,11,1,3,71885752.0,0,1.0,27.2,29.0,79.4,18.4,2
2023-01-12,2023,12,1,4,72636920.0,0,1.0,27.5,29.8,79.1,16.6,2
2023-01-13,2023,13,1,5,73324544.9,0,1.0,27.7,30.5,81.9,13.0,2
2023-01-14,2023,14,1,6,70901639.0,0,0.5,28.6,31.8,79.1,13.0,2
2023-01-15,2023,15,1,0,62856714.0,0,0.0,28.6,30.4,73.2,14.8,1
2023-01-16,2023,16,1,1,68478056.0,0,1.0,28.5,30.7,75.4,15.4,2
2023-01-17,2023,17,1,2,64148758.0,0,1.0,27.4,29.0,76.0,18.4,1
2023-01-18,2023,18,1,3,57668679.3,0,1.0,27.1,28.1,67.9,18.4,1
2023-01-19,2023,19,1,4,51101382.0,0,1.0,27.6,29.0,64.8,13.2,1
2023-01-20,2023,20,1,5,46575515.0,1,0.0,27.7,30.1,73.0,13.0,2
2023-01-21,2023,21,1,6,45438053.0,1,0.0,28.8,31.3,67.8,13.0,2
2023-01-22,2023,22,1,0,42824123.3,1,0.0,28.8,32.1,74.0,20.5,2
2023-01-23,2023,23,1,1,41829940.0,1,0.0,29.2,32.2,71.7,18.4,2
2023-01-24,2023,24,1,2,40947808.0,1,0.0,28.0,29.2,73.1,26.8,2
2023-01-25,2023,25,1,3,38423958.0,1,0.0,26.6,27.0,65.3,14.8,2
2023-01-26,2023,26,1,4,40433576.0,1,0.0,27.0,27.7,62.2,11.2,1
2023-01-27,2023,27,1,5,49411165.0,0,1.0,27.5,29.3,76.4,13.4,1
2023-01-28,2023,28,1,6,48769030.0,0,0.5,27.1,27.8,59.4,20.5,1
2023-01-29,2023,29,1,0,47834285.0,0,0.0,25.7,26.0,59.2,15.3,1
2023-01-30,2023,30,1,1,59014408.0,0,1.0,25.1,25.5,65.5,14.8,1
2023-01-31,2023,31,1,2,66646106.2,0,1.0,27.0,28.5,71.9,16.6,1
2023-02-01,2023,1,2,3,70517268.0,0,1.0,27.3,29.1,76.0,13.0,2
2023-02-02,2023,2,2,4,72937767.0,0,1.0,27.8,30.7,79.5,16.6,1
2023-02-03,2023,3,2,5,74991464.0,0,1.0,29.4,31.7,65.7,20.5,1
2023-02-04,2023,4,2,6,74190306.0,0,0.5,29.1,30.7,63.9,22.3,1
2023-02-05,2023,5,2,0,64236011.0,0,0.0,28.4,29.8,66.6,14.8,1
2023-02-06,2023,6,2,1,77063759.0,0,1.0,28.9,30.9,65.2,18.4,1
2023-02-07,2023,7,2,2,79508664.0,0,1.0,28.6,31.2,70.6,18.4,1
2023-02-08,2023,8,2,3,80553964.0,0,1.0,28.9,31.3,70.0,18.4,2
2023-02-09,2023,9,2,4,80915482.0,0,1.0,29.5,31.7,63.1,22.3,2
2023-02-10,2023,10,2,5,79670039.0,0,1.0,29.2,30.4,60.3,24.1,1
2023-02-11,2023,11,2,6,76818085.0,0,0.5,28.8,30.9,69.9,22.3,1
2023-02-12,2023,12,2,0,66810851.0,0,0.0,28.9,31.8,70.5,20.5,1
2023-02-13,2023,13,2,1,79377979.8,0,1.0,28.5,31.9,75.6,22.3,1
2023-02-14,2023,14,2,2,79924127.0,0,1.0,27.9,30.1,78.2,20.5,1
2023-02-15,2023,15,2,3,80242869.0,0,1.0,28.6,30.2,68.2,18.4,2
2023-02-16,2023,16,2,4,79068905.0,0,1.0,27.8,28.7,64.4,14.8,1
2023-02-17,2023,17,2,5,79759453.0,0,1.0,28.4,29.7,64.2,16.6,2
2023-02-18,2023,18,2,6,76653841.3,0,0.5,27.7,29.7,78.4,18.4,2
2023-02-19,2023,19,2,0,65612512.0,0,0.0,27.9,30.1,76.9,22.3,2
2023-02-20,2023,20,2,1,76397471.0,0,1.0,27.6,28.9,75.1,20.5,2
2023-02-21,2023,21,2,2,78330293.0,0,1.0,27.7,28.8,69.9,20.5,1
2023-02-22,2023,22,2,3,78182834.6,0,1.0,27.5,28.8,70.9,16.6,1
2023-02-23,2023,23,2,4,78082919.0,0,1.0,27.9,29.3,69.6,16.0,1
2023-02-24,2023,24,2,5,77826408.0,0,1.0,27.5,28.5,72.0,19.6,1
2023-02-25,2023,25,2,6,72598469.0,0,0.5,27.2,28.0,65.5,14.8,1
2023-02-26,2023,26,2,0,61908233.0,0,0.0,27.7,28.1,54.7,16.6,1
2023-02-27,2023,27,2,1,74861347.0,0,1.0,27.7,28.7,58.1,18.4,1
2023-02-28,2023,28,2,2,79161406.0,0,1.0,28.5,30.5,65.5,14.8,2
2023-03-01,2023,1,3,3,81365174.0,0,1.0,28.9,31.1,70.2,24.1,2
2023-03-02,2023,2,3,4,81620462.0,0,1.0,29.1,30.8,64.8,16.6,1
2023-03-03,2023,3,3,5,78935113.0,0,1.0,27.8,28.9,63.0,18.4,1
2023-03-04,2023,4,3,6,73223839.0,0,0.5,26.9,27.5,64.9,14.8,1
2023-03-05,2023,5,3,0,61584735.0,0,0.0,27.1,27.1,58.7,16.6,1
2023-03-06,2023,6,3,1,73260733.0,0,1.0,26.6,27.3,63.0,24.1,1
2023-03-07,2023,7,3,2,75157862.0,0,1.0,27.2,27.6,63.0,18.4,1
2023-03-08,2023,8,3,3,75536075.0,0,1.0,27.2,27.8,65.8,20.5,1
2023-03-09,2023,9,3,4,75527562.0,0,1.0,27.2,27.5,64.4,18.4,1
2023-03-10,2023,10,3,5,75109221.0,0,1.0,26.8,27.4,70.5,18.4,1
2023-03-11,2023,11,3,6,71585557.0,0,0.5,27.3,28.3,69.7,18.4,1
2023-03-12,2023,12,3,0,61095794.0,0,0.0,27.5,28.3,69.0,16.6,1
2023-03-13,2023,13,3,1,74365600.9,0,1.0,27.7,28.4,64.4,18.4,1
2023-03-14,2023,14,3,2,76641421.0,0,1.0,27.8,28.1,62.8,18.4,1
2023-03-15,2023,15,3,3,77273936.0,0,1.0,27.6,28.1,66.8,18.4,1
2023-03-16,2023,16,3,4,79119902.0,0,1.0,28.6,29.5,61.2,22.2,1
2023-03-17,2023,17,3,5,79216437.0,0,1.0,28.4,29.7,66.9,20.5,1
2023-03-18,2023,18,3,6,75779162.1,0,0.5,28.6,30.4,67.5,20.5,1
2023-03-19,2023,19,3,0,67317983.0,0,0.0,29.5,31.5,65.0,20.5,1
2023-03-20,2023,20,3,1,80671627.0,0,1.0,29.2,31.9,70.6,20.5,1
2023-03-21,2023,21,3,2,84144531.0,0,1.0,29.0,32.3,75.3,20.5,1
2023-03-22,2023,22,3,3,83371828.7,0,1.0,29.0,32.0,75.4,18.4,1
2023-03-23,2023,23,3,4,83978016.0,0,1.0,29.3,33.4,74.6,14.8,1
2023-03-24,2023,24,3,5,84044364.0,0,1.0,29.4,33.7,76.0,22.3,1
2023-03-25,2023,25,3,6,79182088.0,0,0.5,28.8,32.6,76.2,18.4,1
2023-03-26,2023,26,3,0,69192215.0,0,0.0,29.5,32.7,73.0,18.6,1
2023-03-27,2023,27,3,1,83197555.0,0,1.0,29.5,34.2,75.5,18.4,2
2023-03-28,2023,28,3,2,86852606.0,0,1.0,30.3,35.6,72.9,24.1,2
2023-03-29,2023,29,3,3,85969251.0,0,1.0,30.1,32.8,64.8,16.6,2
2023-03-30,2023,30,3,4,85548745.0,0,1.0,29.5,33.8,72.5,24.1,1
2023-03-31,2023,31,3,5,83719045.7,0,1.0,29.2,33.7,75.5,18.4,2
2023-04-01,2023,1,4,6,79308538.0,0,0.5,29.1,34.0,77.4,18.4,1
2023-04-02,2023,2,4,0,70234087.0,0,0.0,29.7,33.4,73.2,17.7,2
2023-04-03,2023,3,4,1,83494531.0,0,1.0,29.2,34.0,77.7,18.4,2
2023-04-04,2023,4,4,2,86359360.0,0,1.0,30.1,35.6,75.5,22.3,2
2023-04-05,2023,5,4,3,87281041.0,0,1.0,30.2,35.9,75.1,18.4,2
2023-04-06,2023,6,4,4,88524931.0,0,1.0,30.2,35.7,75.1,19.9,2
2023-04-07,2023,7,4,5,88537092.0,0,1.0,30.4,36.2,72.9,20.3,2
2023-04-08,2023,8,4,6,85085183.0,0,0.5,31.0,35.9,68.6,16.6,1
