,ngay,san_luong,nhiet_do
0,2023-01-01,50990646.0,24
1,2023-01-02,60638038.0,24
2,2023-01-03,74333647.0,25
3,2023-01-04,75062469.0,26
4,2023-01-05,72323966.0,26
5,2023-01-06,70103958.0,23
6,2023-01-07,67168035.0,25
7,2023-01-08,58843165.0,24
8,2023-01-09,71733072.0,25
9,2023-01-10,71999979.0,25
10,2023-01-11,71885752.0,26
11,2023-01-12,72636920.0,26
12,2023-01-13,73324544.9,25
13,2023-01-14,70901639.0,26
14,2023-01-15,62856714.0,26
15,2023-01-16,68478056.0,26
16,2023-01-17,64148758.0,26
17,2023-01-18,57668679.3,25
18,2023-01-19,51101382.0,25
19,2023-01-20,46575515.0,26
20,2023-01-21,45438053.0,27
21,2023-01-22,42824123.3,28
22,2023-01-23,41829940.0,27
23,2023-01-24,40947808.0,26
24,2023-01-25,38423958.0,24
25,2023-01-26,40433576.0,24
26,2023-01-27,49411165.0,27
27,2023-01-28,48769030.0,26
28,2023-01-29,47834285.0,24
29,2023-01-30,59014408.0,22
30,2023-01-31,66646106.2,24
31,2023-02-01,70517268.0,26
32,2023-02-02,72937767.0,27
33,2023-02-03,74991464.0,27
34,2023-02-04,74190306.0,26
35,2023-02-05,64236011.0,25
36,2023-02-06,77063759.0,27
37,2023-02-07,79508664.0,27
38,2023-02-08,80553964.0,26
39,2023-02-09,80915482.0,27
40,2023-02-10,79670039.0,26
41,2023-02-11,76818085.0,26
42,2023-02-12,66810851.0,27
43,2023-02-13,79377979.8,27
44,2023-02-14,79924127.0,26
45,2023-02-15,80242869.0,26
46,2023-02-16,79068905.0,24
47,2023-02-17,79759453.0,25
48,2023-02-18,76653841.3,26
49,2023-02-19,65612512.0,26
50,2023-02-20,76397471.0,25
51,2023-02-21,78330293.0,25
52,2023-02-22,78182834.6,25
53,2023-02-23,78082919.0,25
54,2023-02-24,77826408.0,25
55,2023-02-25,72598469.0,24
56,2023-02-26,61908233.0,25
57,2023-02-27,74861347.0,24
58,2023-02-28,79161406.0,26
59,2023-03-01,81365174.0,27
60,2023-03-02,81620462.0,26
61,2023-03-03,78935113.0,25
62,2023-03-04,73223839.0,25
63,2023-03-05,61584735.0,24
64,2023-03-06,73260733.0,24
65,2023-03-07,75157862.0,24
66,2023-03-08,75536075.0,25
67,2023-03-09,75527562.0,24
68,2023-03-10,75109221.0,24
69,2023-03-11,71585557.0,24
70,2023-03-12,61095794.0,25
71,2023-03-13,74365600.9,25
72,2023-03-14,76641421.0,24
73,2023-03-15,77273936.0,25
74,2023-03-16,79119902.0,26
75,2023-03-17,79216437.0,26
76,2023-03-18,75779162.1,26
77,2023-03-19,67317983.0,26
78,2023-03-20,80671627.0,27
79,2023-03-21,84144531.0,26
80,2023-03-22,83371828.7,26
81,2023-03-23,83978016.0,27
82,2023-03-24,84044364.0,27
83,2023-03-25,79182088.0,27
84,2023-03-26,69192215.0,27
