name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ho Chi Minh,2022-01-01,33,23,27.5,33.5,23,28.2,18.2,58.5,0,0,0,,0,0,18.7,14.8,70.9,1013,44.6,10.3,203.2,17.7,8,,2022-01-01T06:11:30,2022-01-01T17:41:49,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-02,32.6,23,27.6,33.3,23,28.8,20.1,65.6,0,0,0,,0,0,21.6,14.8,81.3,1012.3,47.9,10.1,232.5,20.1,8,,2022-01-02T06:11:54,2022-01-02T17:42:22,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-03,32,24.1,27.5,34.1,24.1,28.5,20.8,68.3,0.4,100,8.33,rain,0,0,23,13,40.8,1011.4,49.6,9.9,179.8,15.6,7,,2022-01-03T06:12:17,2022-01-03T17:42:55,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-04,32,24,27.3,35.7,24,28.9,22.3,75.4,4,100,4.17,rain,0,0,27,13,189.7,1011.5,48.3,9.2,217.4,18.8,8,,2022-01-04T06:12:39,2022-01-04T17:43:27,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-05,32,24,27.6,35.8,24,29.5,22,72.3,2.3,100,25,rain,0,0,24.1,10.8,130.9,1011.5,56.3,9.9,196.8,16.9,7,,2022-01-05T06:13:01,2022-01-05T17:44:00,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-06,31,24.1,27.6,35.5,24.1,29.9,22.8,76,0.5,100,8.33,rain,0,0,16.6,9.4,178.1,1011.8,66.4,8.9,204.9,17.7,8,,2022-01-06T06:13:21,2022-01-06T17:44:33,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-07,33,26,28.4,36.1,26,30.2,22.1,70.3,0.4,100,12.5,rain,0,0,27,18.4,152.3,1012.2,63.6,9.3,202.2,17.5,7,,2022-01-07T06:13:41,2022-01-07T17:45:06,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-08,33,24,27.8,36.1,24,29.2,21,68,0,0,0,,0,0,23.8,13,188.1,1012.1,48,9.4,239.7,20.8,9,,2022-01-08T06:14:00,2022-01-08T17:45:38,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-09,32.9,23,27.4,34,23,28.5,21.1,70.9,0,0,0,,0,0,24.5,18.4,112.6,1011.1,47.3,10.2,238.3,20.6,9,,2022-01-09T06:14:18,2022-01-09T17:46:11,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-10,32,25,27.9,34.8,25,29.5,21.8,71.1,0.2,100,8.33,rain,0,0,17.6,15.3,123.9,1011.7,60.2,9.3,188.7,16.2,7,,2022-01-10T06:14:35,2022-01-10T17:46:43,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-11,34,24,27.8,34,24,28.6,20,64.9,0.2,100,4.17,rain,0,0,29.2,16.4,111,1012.6,44.9,10.2,222.7,19.3,8,,2022-01-11T06:14:52,2022-01-11T17:47:15,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-12,32,22,26.7,32.4,22,26.9,18.1,61.9,0,0,0,,0,0,27,14.8,102.8,1013.1,37.9,10.3,243.8,21,9,,2022-01-12T06:15:07,2022-01-12T17:47:47,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-13,30,21,26.1,31.3,21,26.7,19.3,68.5,0,0,0,,0,0,22.3,14.8,173.8,1013.2,38.8,9.1,222.7,19.2,8,,2022-01-13T06:15:21,2022-01-13T17:48:18,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-14,33,22.1,27.1,32.6,22.1,27.2,17.9,60.4,0,0,0,,0,0,23,16.6,93.5,1013.3,59.3,9.8,228.3,19.7,9,,2022-01-14T06:15:35,2022-01-14T17:48:49,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-15,34,21,26.7,33.6,21,27.1,18.9,65.9,0,0,0,,0,0,37.1,14.8,129.7,1012.6,48.4,9.1,243.8,21,9,,2022-01-15T06:15:47,2022-01-15T17:49:20,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-16,33,22,27.6,33.5,22,28,18.5,60.9,0,0,0,,0,0,22.3,16.6,122.8,1012.4,29,10.2,239.6,20.5,9,,2022-01-16T06:15:59,2022-01-16T17:49:51,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-17,32,24,27.6,34.1,24,28.4,19.8,63.6,0,0,0,,0,0,24.1,11.2,112.6,1012.5,57.9,9.3,209,18.2,8,,2022-01-17T06:16:09,2022-01-17T17:50:21,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-18,33,23,27.4,34.5,23,28.2,20.3,67.7,0,0,0,,0,0,24.8,18.4,152.7,1011.6,44,9.6,219.7,18.9,8,,2022-01-18T06:16:19,2022-01-18T17:50:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-19,31.8,24,27.1,32.8,24,27.7,20.1,67.6,0.2,100,8.33,rain,0,0,23.4,18.4,218.4,1010.5,46.5,9.8,209.8,18.1,8,,2022-01-19T06:16:27,2022-01-19T17:51:20,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-20,32,23,27,32.8,23,27.6,20.1,68.8,0,0,0,,0,0,27.7,14.8,165.4,1010.3,43.4,9,225.8,19.5,8,,2022-01-20T06:16:35,2022-01-20T17:51:49,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-21,33.7,23,27.3,34.9,23,28.1,19.9,66,0,0,0,,0,0,23.8,22.3,166.2,1010.7,48.9,9.4,228.5,19.7,8,,2022-01-21T06:16:41,2022-01-21T17:52:18,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-22,33.7,23,27.5,34.9,23,28.1,20.3,67.4,0,0,0,,0,0,25.6,21.6,150.2,1009.6,42.9,10,203.9,17.5,8,,2022-01-22T06:16:46,2022-01-22T17:52:46,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-23,33,24.9,27.6,35.3,24.9,28.9,21.6,71.3,0,0,0,,0,0,22.7,16.6,152.2,1009.8,61.2,10.3,202.8,17.4,7,,2022-01-23T06:16:51,2022-01-23T17:53:13,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-24,33,24.9,28.1,36.1,24.9,29.8,22.3,72.9,0,0,0,,0,0,28.8,18.4,161.2,1009.6,47.7,9.6,219.8,19.1,8,,2022-01-24T06:16:54,2022-01-24T17:53:40,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-25,31,25,27.6,35.3,25,29.4,22.5,74.8,0.5,100,16.67,rain,0,0,24.5,18.4,152.2,1009.9,51,9.9,204.6,17.8,8,,2022-01-25T06:16:56,2022-01-25T17:54:07,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-26,33,24,27.5,35.3,24,29,22.5,75.8,0,0,0,,0,0,29.2,18,134.4,1010.2,46.4,9.1,232.3,20.1,8,,2022-01-26T06:16:57,2022-01-26T17:54:33,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-27,35,24,27.8,35.1,24,28.8,21.4,73,0,0,0,,0,0,31.3,20.5,203.8,1009.7,40.7,8.1,246.5,21.5,9,,2022-01-27T06:16:57,2022-01-27T17:54:58,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-28,33,24,27.8,34.6,24,29.2,21.8,72.5,0,0,0,,0,0,24.8,13,266.4,1010.2,45.8,9.3,229.9,20,8,,2022-01-28T06:16:56,2022-01-28T17:55:23,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-29,33,25,28,35.3,25,30,23.1,76.5,0.5,100,20.83,rain,0,0,20.2,14.8,208.8,1009.8,57.7,9.5,209.7,18.1,8,,2022-01-29T06:16:54,2022-01-29T17:55:48,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-30,32,25.9,27.7,35.8,25.9,29.3,22.6,74.7,0.2,100,8.33,rain,0,0,27.7,24.1,159.4,1010.3,56.4,9.9,196.1,17,7,,2022-01-30T06:16:51,2022-01-30T17:56:11,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-01-31,34,24.9,28.4,35.7,24.9,29.2,20.2,64.1,0,0,0,,0,0,32.4,22.3,136.9,1009.9,39.9,10.3,248.9,21.6,9,,2022-01-31T06:16:47,2022-01-31T17:56:34,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-01,35,25,29.1,36.3,25,29.9,19.8,60.1,0,0,0,,0,0,32,18.4,130.5,1010.2,35.8,10.3,256.8,22.2,9,,2022-02-01T06:16:42,2022-02-01T17:56:57,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-02,35,24,29.2,36.3,24,30.1,19.3,57.5,0,0,0,,0,0,35.3,20.5,136.4,1010.8,30.9,10.3,249.7,21.7,8,,2022-02-02T06:16:36,2022-02-02T17:57:19,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-03,36,24,29.1,36.8,24,30.6,20.6,62.4,0,0,0,,0,0,26.6,19.9,130.6,1010.6,38.2,10.3,229.9,19.8,9,,2022-02-03T06:16:29,2022-02-03T17:57:40,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-04,35,24,28.8,36.3,24,30.3,21.2,66.4,0,0,0,,0,0,24.5,14.1,116.1,1010,53,10.1,239.3,20.6,8,,2022-02-04T06:16:21,2022-02-04T17:58:00,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-05,35,24,28.7,35.7,24,29.7,19.7,60.6,0.6,100,4.17,rain,0,0,25.6,14.8,70.2,1010.4,43.4,10.3,222.2,19.2,8,,2022-02-05T06:16:11,2022-02-05T17:58:20,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-06,33,23,28.5,33,23,29.3,18.6,56.7,0.1,100,4.17,rain,0,0,29.2,19.3,65,1011,55.4,10.3,185.1,16.1,8,,2022-02-06T06:16:01,2022-02-06T17:58:40,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-07,34.7,24,29.2,36.1,24,30.6,20.4,61,0,0,0,,0,0,24.8,18.4,127.6,1010.5,48.9,10.3,225.9,19.7,8,,2022-02-07T06:15:50,2022-02-07T17:58:58,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-08,33,26.9,28.8,36.2,28.4,31,20.8,62.8,1.2,100,8.33,rain,0,0,27.4,17.7,124,1010.4,44.1,10,203.2,17.5,7,,2022-02-08T06:15:38,2022-02-08T17:59:17,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-09,35,24,29,36.3,24,30.5,20.4,61.5,0,0,0,,0,0,34.2,18.4,124.2,1010.3,49.4,10.1,243.1,21,8,,2022-02-09T06:15:25,2022-02-09T17:59:34,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-10,35,25,29.4,36.3,25,30.7,19.9,58.6,0.5,100,16.67,rain,0,0,30.2,20.5,112.5,1009.5,47.9,10.1,235.3,20.3,9,,2022-02-10T06:15:10,2022-02-10T17:59:51,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-11,33,25,28.7,36.1,25,30.5,21.2,65.5,0.1,100,4.17,rain,0,0,24.1,19.9,118.4,1008.9,48.5,10,246.1,21.2,9,,2022-02-11T06:14:55,2022-02-11T18:00:07,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-12,35.7,25,29.4,35.7,25,30.5,19.9,59.6,0.1,100,4.17,rain,0,0,30.2,15.7,100.4,1008.1,39.6,9.9,192.1,16.5,8,,2022-02-12T06:14:39,2022-02-12T18:00:22,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-13,33,25,28.9,35.3,25,30.5,20.7,62.3,0,0,0,,0,0,33.8,18.4,121.9,1007.4,44.9,10,191.7,16.6,6,,2022-02-13T06:14:23,2022-02-13T18:00:37,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-14,34.9,25.9,29.2,37.7,25.9,31.2,21.7,66,0,0,0,,0,0,34.6,18.4,117,1007.8,51.8,9.9,208.3,18,9,,2022-02-14T06:14:05,2022-02-14T18:00:52,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-15,34,25,28.9,35.8,25,30.3,21.3,66.1,0.5,100,12.5,rain,0,0,46.8,27.7,124,1008.6,49.7,9.8,223.1,19.3,9,,2022-02-15T06:13:46,2022-02-15T18:01:05,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-16,34,26,29.1,35.8,26,30.7,20.8,62.6,0.3,100,12.5,rain,0,0,37.8,20.9,137.6,1008,52.8,10.3,223.8,19.4,8,,2022-02-16T06:13:27,2022-02-16T18:01:18,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-17,33,25.9,28.6,36.1,25.9,30.5,21.9,68.5,0.1,100,4.17,rain,0,0,31,24.1,148.8,1007.9,40.2,10.3,248.2,21.4,9,,2022-02-17T06:13:06,2022-02-17T18:01:31,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-18,34,25.9,29,37.3,25.9,31,22,67.8,0,0,0,,0,0,34.9,18.4,146.6,1008.7,32.5,10.1,245.4,21.1,9,,2022-02-18T06:12:45,2022-02-18T18:01:43,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-19,32,25.9,28.7,34.9,25.9,30.9,22.2,69.3,0.1,100,4.17,rain,0,0,25.9,16,155.8,1010.2,51.9,10.3,213,18.4,8,,2022-02-19T06:12:23,2022-02-19T18:01:54,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
Ho Chi Minh,2022-02-20,32,25.9,28.3,35.8,25.9,30.7,23,73.9,2.2,100,8.33,rain,0,0,32.4,19.3,142.7,1009.8,62.3,10.1,212.9,18.3,8,,2022-02-20T06:12:01,2022-02-20T18:02:05,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999,48900099999,VVTS"
